Nama Provinsi,Angka deforestasi,Jumlah tindak pidana,Banjir,Gunung Meletus,Gempa,Angin Topan,Tsunami,Tanah Longsor,Kelas,,
ACEH,1917.9,8758,92,0,1,61,0,5,sedang,10834.9,
SUMATERA UTARA,1233.6,32922,32,16,0,34,0,7,tinggi,34244.6,
SUMATERA BARAT,774.6,12953,50,2,2,25,0,14,sedang,13820.6,
RIAU,6566.2,7246,15,0,0,6,0,5,sedang,13838.2,
JAMBI,4486.9,6313,7,0,0,6,0,4,sedang,10816.9,
SUMATERA SELATAN,-2312,13558,33,0,0,23,0,6,sedang,11308,
BENGKULU,3359.8,3389,8,0,0,0,0,3,sedang,6759.8,
LAMPUNG,463.3,8963,17,1,0,5,5,4,sedang,9458.3,
KEP. BANGKA BELITUNG,118.4,2048,13,0,0,9,0,0,rendah,2188.4,
KEP. RIAU,1314.4,3409,4,0,0,5,0,0,rendah,4732.4,
DKI JAKARTA,0,34655,16,0,1,10,0,8,tinggi,34690,
JAWA BARAT,0,16209,79,0,5,119,0,139,tinggi,16551,
JAWA TENGAH,0,9127,85,8,1,244,0,161,sedang,9626,
DI YOGYAKARTA,0,6731,4,8,0,90,0,12,sedang,6845,
JAWA TIMUR,0,26295,87,0,5,145,0,99,tinggi,26631,
BANTEN,34.3,3623,18,0,4,34,2,8,rendah,3723.3,
BALI,45,3212,29,24,21,18,0,55,rendah,3404,
NUSA TENGGARA BARAT,13007.9,6451,39,0,16,16,0,6,tinggi,19535.9,
NUSA TENGGARA TIMUR,8289.5,6257,28,0,1,93,0,33,sedang,14701.5,
KALIMANTAN BARAT,16334.5,5814,49,0,0,26,0,12,tinggi,22235.5,
KALIMANTAN TENGAH,6912.3,2667,25,0,0,5,0,4,sedang,9613.3,
KALIMANTAN SELATAN,7547.2,5699,15,0,0,26,0,6,sedang,13293.2,
KALIMANTAN TIMUR,10660.5,6287,14,0,0,6,0,3,tinggi,16970.5,
KALIMANTAN UTARA,10660.5,396,1,0,0,0,0,0,sedang,11057.5,
SULAWESI UTARA,399.4,10247,10,3,0,4,0,8,sedang,10671.4,
SULAWESI TENGAH,9503.1,9379,7,0,0,1,0,0,tinggi,18890.1,
SULAWESI SELATAN,919.1,21498,39,0,2,110,0,27,tinggi,22595.1,
SULAWESI TENGGARA,3184.4,1263,17,0,0,4,0,5,rendah,4473.4,
GORONTALO,1067.9,2836,14,0,0,1,0,2,rendah,3920.9,
SULAWESI BARAT,215.7,1817,5,0,2,4,0,1,rendah,2044.7,
MALUKU,9267.4,2751,5,0,0,2,0,2,sedang,12027.4,
MALUKU UTARA,1609.8,722,12,1,1,4,0,2,rendah,2351.8,
PAPUA BARAT,1908.4,3475,6,0,1,0,0,0,rendah,5390.4,
PAPUA,6630.3,7311,8,0,2,1,0,1,sedang,13953.3,
Indonesia,126120.3,294281,883,63,65,"1,137",7,642,,"5,733",q1
,,,,,,,,,,"10,946",q2
,,,,,,,,,,"16,089",q3
